SWNK BCR Boca do Acre [Novo Campo], AM, BR
SBMN PLL Manaus [Ponta Pelada], AM, BR
SNOX ORX Oriximina, PA, BR
SBCO Porto Alegre [Canoas], RS, BR
SNZA PPY Pouso Alegre, MG, BR
SSZR SRA Santa Rosa, RS, BR
SSPF São José das Palmeiras [Fazenda São Rafael], PR, BR
SWXK São José do Rio Claro [Fazenda Rio Alegre], BR
SNVB VAL Valença, BA, BR
SSAL ALQ Alegrete [Federal], RS, BR
SSER ERM Erechim, RS, BR
SSIJ IJU Ijuí, RS, BR
SNUH Piumhir [Sebastião Gomes de Souza], MG, BR
SNSW SFK Soure, PA, BR
SWFX SXO São Felix do Araguaia, MT, BR
SSVI Videira, SC, BR
SNBX BQQ Barra, BA, BR
SBBI Curitiba [Bacacheri], PR, BR
SWGI GRP Gurupi, GO, BR
SBEK JCR Jacareacanga, PA, BR
SBPC POO Poços de Caldas [Embaixador Walther Moreira Salles], MG, BR
SSSC Santa Cruz do Sul, RS, BR
SNAQ QGS Alagoinhas, BA, BR
ALT Alenquer, PA, BR
SBBW BPG Barra do Garças, MT, BR
SNCE Campo do Meio, MG, BR
SSPS Palmas, PR, BR
SBST SSZ Santos (Guaruja) [Santos AB], SP, BR
SIVU Vila Velha [João Monteiro], BR
SNKK Caicó, RN, BR
SNDT Diamantina, MG, BR
SNGI GNM Guanambi, BA, BR
SNBF SEI Senhor do Bonfim, BA, BR
SDSC QSC São Carlos [Francisco Pereira Lopez], SP, BR
SWUQ Alto Alegre [Surucucu], RR, BR
SWBV Amajari (Boa Vista) [Auaris], RR, BR
SBBZ BZC Búzios [Umberto Modiano], RJ, BR
SWNT Caçu [Fazenda Saõ Antonio], BR
SWNA NVP Novo Aripuanã, AM, BR
SWNS APS Anapolis, GO, BR
SDIL Angra Dos Reis [Fazenda Pedra Branca], RJ, BR
SDAG Angra Dos Reis, RJ, BR
SBBQ QAK Barbacena [Major Brigadeiro do Ar Doorgal Gomes], MG, BR
SWBY Bom Jesus de Goiás [Fazenda Goiása], GO, BR
SNBU BMS Brumado [Socrates Mariani Bittencourt], BA, BR
SNED CNV Canavieiras, BA, BR
SIXO Comodoro [Fazenda N S de Fatima], BR
SBGU GPB Guarapuava [Tancredo Thomaz de Faria], PR, BR
SNIU IPU Ipiau, BA, BR
SNHA ITN Itabuna, BA, BR
SNNU NNU Nanuque, MG, BR
SNPE Penedo, AL, BR
SIPK Poconé [Sesc Pantanal], MT, BR
SDRS REZ Resende, RJ, BR
SBYA São Gabriel da Cachoeira [Iauaretê], AM, BR
SBXI Cachimbo-in-Para, PA, BR
SNCC Calçoene, AP, BR
SSAY Campo Grande [Sitio Pouso do Aviador], BR
SBGP Embraer Unidade Gaviao Peixoto (Gaviao Peixoto Embraer), BR
SBIC ITA Itacoiatiara, AM, BR
SNRB Itaituba [Fazenda Rosa de Maio], BR
SIYY Pocone [Ilha do Caracara], BR
SNEM Recife [Encanta Moça], PE, BR
SNPY São Sebastião do Paraíso, MG, BR
SBAS AIF Assis, SP, BR
SWEE Atalaia do Norte [Estirão do Equador], AM, BR
SNBS BSS Balsas, MA, BR
SNMH Codó [Magalhães de Almeida], MA, BR
SWXV NOK Nova Xavantina, MT, BR
SBPN PNB Porto Nacional, TO, BR
SWSQ São Gabriel da Cachoeira [São Joaquim], AM, BR
SWUA SQM São Miguel de Aragao, GO, BR
SWAQ Amajari (Boa Vista) [Edem Erico], RR, BR
SNFR Belem de São Francisco, PE, BR
SSBL BNU Blumenau, SC, BR
SNCP CTP Carutapera, MA, BR
SWDM DMT Diamantino, MT, BR
SDIO Itapólis, SP, BR
SWJP Japurá [Bittencourt], AM, BR
SDMC Maricá, RJ, BR
SDNY Nova Iguaçu [Aeroclube Nova Iguaçu], RJ, BR
SBYS QPS Pirassununga [Campo Fontenelle], SP, BR
QRZ Resende, RJ, BR
SNKE CMP Santana do Araguaia [Campo Alegre], PA, BR
SWTU Sapeza [Fazenda Tucunare], BR
SWRI São Felix do Araguaia [Fazenda Roncador I], MT, BR
SDJO São Joaquin da Barra, SP, BR
SBTA QHP Taubaté [Base de Aviação de Taubaté (Heiponto)], SP, BR
SWSF Vila Bela da Santissima Trindade [Fazenda São Francisco], BR
SWVC VLP Vila Rica [Muni], MT, BR
SBAM Amapá, AP, BR
SNBC BDC Barra do Corda, MA, BR
SNKI QXD Cachoeiro do Itapemirim [Off-line Point], ES, BR
SWIN Campo Novo dos Parecis [Fazenda Itamarati Norte], BR
SDCA Capão Bonito, SP, BR
SBAA CDJ Conceicao do Araguaia, PA, BR
SNJD Feira de Santana [João Durval Carneiro], BA, BR
MBK Matupá, MT, BR
SBMC MQH Minaçu, GO, BR
SWML Monte Alegre de Goiás, GO, BR
SNOO Mossoró (Moçoró) [Maisa], RN, BR
SNOZ Paco do Lumiar [Coronel Alexandre Raposo], MA, BR
SSHX Paranhos [Fazenda Jatoba], BR
LCB Pontes e Lacerda, MT, BR
SWMY Porto Fluvial Suia Missu, BR
SWHG Santa Helena de Goias, GO, BR
SWII IPG Santo Antônio do Içá [Ipiranga], AM, BR
SWYQ Sinop [Fazenda Nova Fronteira], BR
SSOE São Miguel do Oeste, SC, BR
SBRQ São Roque, SP, BR
SNOM Vila Bela da S S Trindade [Fazenda Guapore I], BR
SNTI OBI Óbidos, PA, BR
SSAP APU Apucarana, PR, BR
SNAT Aracati, CE, BR
SWRA AAI Arraias, TO, BR
SBRR BRB Barreirinhas, BA, BR
SDFX Casa Nova, BA, BR
SWKT TLZ Catalão, GO, BR
SSJA JCB Joacaba, SC, BR
SBLN LIP Lins, SP, BR
SSZW PGZ Ponta Grossa, PR, BR
SWIY IDO Santa Isabel do Morro, TO, BR
SNOB QBX Sobral, CE, BR
SWPC São Gabriel da Cachoeira [Pari-Cachoeira], AM, BR
SWUK São Gabriel da Cachoeira [Uapui-Cachoeira], AM, BR
SSRU São Lourenco do Sul, RS, BR
SSLG São Luis Gonzaga, RS, BR
SWTS Tangara da Serra, BR
SNAI APY Alto Parnaiba, MA, BR
SWEC ARS Aragarcas, GO, BR
SNUC Açu, RN, BR
SJTC Bauru (Arealva), SP, BR
SDEO Boa Esperanca do Sul [Fazenda Entre Rios], BR
SNGG Bom Jesus do Gurgueia [Gurgueia], PI, BR
SNUP Campo Alegre [Usina P Rico], AL, BR
SSKN Campo Novo, RS, BR
SWCG Caçu [Fazenda Varjao Grande], BR
SSCK CCI Concordia, SC, BR
SSCP CKO Cornelio Procopio, PR, BR
SWCQ CQS Costa Marques, RO, BR
SSBH Coxim/F Baia, BR
SWYB Fazenda Sagrado Coracao de Jesus, BR
SSKQ Fazenda Vista Alegre Ii, BR
SSFB FBE Francisco Beltrao, PR, BR
SDZM Itapeva [Fazenda São Marco], SP, BR
SWJU JRN Juruena, MT, BR
MTG Mato Grosso, MT, BR
SSNQ Nioaque, MS, BR
SDOU OUS Ourinhos, SP, BR
SSPI PVI Paranavai, PR, BR
SWPM PBQ Pimenta Bueno, RO, BR
SSFA Pinhao [Foz do Areia], BR
SNPG Porto Grande, AP, BR
SNRD PDF Prado, BA, BR
SFV Santa Fé do Sul, SP, BR
SWST STZ Santa Terezinha [Confresa], MT, BR
SNSH Santarém (São Jose), PA, BR
SWZI Santo Antonio Ica/S Luzia, BR
SNQD Souza (Sousa), PB, BR
SNDG São Domingos do Maranhao, MA, BR
SWAO São Gabriel da Cachoeira [Anamoim], AM, BR
SWAK São Gabriel da Cachoeira [Assunção de Içana], AM, BR
SWMK São Gabriel da Cachoeira [Maturaca], AM, BR
SWQE São Gabriel da Cachoeira [Querari], AM, BR
SWTR São Gabriel da Cachoeira [Taraquá], AM, BR
SBFU São José da Barra [Furnas], BR
SNJV São João da Ponte [Fazenda Santa Monica], BR
SSEP São Sepe, RS, BR
SBTX QTB Tubarão, SC, BR
SWTI Vila Bela da S S Trindade [São Vicente], BR
SNVL Virgem da Lapa, MG, BR
SDVG VOT Votuporanga, SP, BR
SNAL APQ Arapiraca, AL, BR
SBCI CLN Carolina, MA, BR
SIBU Catolé do Rocha, PB, BR
SBCD Caçador, SC, BR
SWPL Chapada dos Guimarães [Posto Leonardo Vilas Boas], MT, BR
SNXH Codó [Itapicuru], MA, BR
SNCX QCH Colatina, ES, BR
SNWS Crateús, CE, BR
SWZJ Crixas/F S João, BR
SNIG QIG Iguatu, CE, BR
SNGS Maceió [Aeroclube], AL, BR
SDME Matao [Marchesan S A], BR
SNXX Maxaranguape, RN, BR
